,Season,Round,Home,Away,FormDiff_01,FormDiff_033,FormDiff_05,FormDiff_066,L_k_Pts_Diff,L_k_St_A_Diff,L_k_Gls_A_Diff,L_k_cor_A_Diff,L_k_Off_A_Diff,L_k_Poss_A_Diff,L_k_Fls_A_Diff,Att_Diff,Mid_Diff,Def_Diff,Rat_Diff,Bud_Diff,Goal_Diff,Pts_Diff,W_Pts_Diff,Result
1457,2017/2018,14,Wolfsburg,Borussia Mönchengladbach,-0.4726429556920001,-1.7902501943312472,-3.376953125,-5.749728628492963,-0.875,0.25,-0.25,-1.125,-0.25,0.875,0.25,-1,1,-3,0,17000000,-6,-10,-0.3611111111111111,H
1458,2017/2018,15,Stuttgart,Bayer Leverkusen,-0.38089939125285,-1.0024066425965799,-1.28448486328125,-1.3241574136485899,-0.5,-0.75,-0.625,0.125,0.875,-1.0,1.625,-3,-4,-4,0,-21000000,-14,-4,-0.19444444444444442,A
1459,2017/2018,15,Borussia Dortmund,Werder Bremen,0.3674959967913499,0.6140133700580579,1.09954833984375,1.501454671077136,-0.25,-0.5,1.125,-2.0,0.875,7.75,-1.75,4,3,6,0,43000000,25,11,-0.23148148148148148,A
1460,2017/2018,15,RB Leipzig,Mainz 05,0.5185471997674799,0.8081978344215615,0.652099609375,0.40745741841083394,0.875,0.25,0.375,-0.375,0.5,-1.625,-3.875,2,5,2,0,41000000,7,11,0.24074074074074076,D
1461,2017/2018,15,Eintracht Frankfurt,Bayern Munich,-0.5592783176912706,-1.5091728330892118,-1.88323974609375,-1.8058568760296696,-0.5,-1.875,-1.0,-2.5,0.5,-17.75,4.75,-15,-8,-11,-1,-77500000,-18,-10,-0.22222222222222232,A
1462,2017/2018,15,Hamburger SV,Wolfsburg,-0.37519893182490993,-1.0264288825759191,-1.89373779296875,-3.716260941643771,-0.375,0.75,-0.75,3.25,-0.625,-0.875,4.625,-4,-6,-1,-1,-12000000,-7,-3,-0.1111111111111111,D
1463,2017/2018,15,Borussia Mönchengladbach,Schalke 04,0.11984376944177977,0.892403392296113,1.4947509765625,1.8815016284486834,0.0,0.0,0.0,-0.125,1.0,-2.625,-4.625,0,-1,-1,0,-9000000,1,-1,-0.02777777777777779,D
1464,2017/2018,15,Köln,Freiburg,-0.30171801764475004,-0.1717076125639418,-0.16424560546875,-0.2585957847518389,-0.75,0.625,-0.25,1.125,0.125,-0.5,1.125,1,5,2,1,9000000,-3,-9,-0.2222222222222222,A
1465,2017/2018,15,Hannover 96,Hoffenheim,-0.27314342346735,-0.7963494093727292,-1.10394287109375,-1.177059872475835,-0.25,-1.625,-0.375,-1.0,0.75,-10.625,-2.125,-4,-2,-1,0,-12000000,-8,-4,-0.20370370370370372,H
1466,2017/2018,15,Augsburg,Hertha BSC,0.3088353528912601,0.8394416458371148,1.1312255859375,1.2604665942696702,0.25,1.5,0.0,1.25,1.25,-2.25,0.25,3,-3,-2,0,1500000,2,5,0.20370370370370366,D
1467,2017/2018,16,Wolfsburg,RB Leipzig,-0.17952347497065269,0.25959030299307795,0.977630615234375,1.6599717579017255,-0.375,0.0,0.25,-0.5,-0.625,-2.25,-1.0,-1,-1,-1,0,-8000000,-4,-9,0.018518518518518545,D
1468,2017/2018,16,Freiburg,Borussia Mönchengladbach,-0.4672597868143201,-0.6695897186502174,-0.345458984375,0.03974727670532774,-0.75,0.75,-0.75,-0.75,-1.0,-2.375,1.0,-4,-6,-5,-1,-19500000,-11,-10,-0.05555555555555558,H
1469,2017/2018,16,Hamburger SV,Eintracht Frankfurt,-0.25879540576802573,0.316587974672745,1.25799560546875,2.940890774869944,-0.5,0.5,-0.125,1.75,-1.5,-1.375,-1.0,-3,-4,-1,-1,17500000,-3,-7,-0.009259259259259245,A
1470,2017/2018,16,Mainz 05,Borussia Dortmund,-0.1371898406450971,-0.02797245467592957,-0.144317626953125,-0.20253089101746002,0.75,0.375,-0.5,0.0,0.0,-7.125,2.5,-5,-5,-7,0,-41000000,-18,-6,0.16666666666666669,A
1471,2017/2018,16,Hoffenheim,Stuttgart,0.28480349964541496,0.5014298571950131,0.551971435546875,0.40550073774331263,-0.125,1.625,0.375,-1.375,-0.5,3.375,0.25,4,1,1,0,11000000,12,6,0.07407407407407407,H
1472,2017/2018,16,Bayern Munich,Köln,1.3847761738043554,2.436438338170008,2.630950927734375,2.4732628923909568,2.375,1.75,1.5,2.125,1.0,19.625,-4.25,16,8,11,1,75500000,26,32,0.75,H
1473,2017/2018,16,Hertha BSC,Hannover 96,-0.13694898568068892,-0.12916078842061474,-0.053009033203125,0.08136423287884309,-0.125,-0.375,0.0,0.625,-1.5,5.0,-0.25,-1,3,2,0,-2000000,1,-4,-0.037037037037037035,H
1474,2017/2018,16,Schalke 04,Augsburg,0.06775899260585416,0.11234422106416142,0.39105224609375,0.8434369236297956,0.5,0.875,0.25,-0.25,0.0,4.625,2.625,0,5,4,0,24500000,1,3,-0.00925925925925919,H
1475,2017/2018,16,Bayer Leverkusen,Werder Bremen,0.5021479272938649,0.7320983692860454,0.457305908203125,0.06792263422458222,0.75,-0.375,1.0,-0.125,0.0,1.75,0.75,2,2,4,0,25000000,18,10,0.11111111111111116,H
1476,2017/2018,17,Borussia Mönchengladbach,Hamburger SV,0.46374983089952504,0.32940126315976037,-0.1818695068359375,-0.7728117126246206,0.375,-1.5,0.5,-3.0,1.0,0.375,-1.75,5,5,4,1,-5000000,10,10,0.055555555555555525,H
1477,2017/2018,17,Köln,Wolfsburg,-0.7017338014213492,-0.9983161062292009,-0.9788055419921875,-0.7758749440449535,-1.125,-0.5,-0.875,0.625,-0.375,-7.125,4.75,-2,-2,0,0,-27500000,-12,-16,-0.4074074074074074,H
1478,2017/2018,17,Werder Bremen,Mainz 05,-0.017566968894104584,0.11812547116605354,0.2755279541015625,0.33317921480057733,0.5,0.375,0.125,1.25,-0.875,0.0,-0.5,1,2,1,0,-2000000,-6,-2,0.25925925925925924,D
1479,2017/2018,17,Eintracht Frankfurt,Schalke 04,-0.1957715267398199,-0.5298556572812116,-0.5168609619140625,0.38946346780222085,-0.5,-0.5,-0.75,-0.375,0.75,-5.25,3.375,-2,-2,-4,0,-21500000,-8,-4,-0.09259259259259256,D
1480,2017/2018,17,Augsburg,Freiburg,0.06763203010811347,-0.5481248457795668,-1.072784423828125,-1.2177544806021117,0.0,-1.125,0.5,1.0,0.375,-2.125,0.625,4,2,2,1,4000000,10,5,-0.16666666666666663,D
1481,2017/2018,17,Stuttgart,Bayern Munich,-1.1559424251986212,-2.6061164922433893,-2.9320068359375,-2.6736119114109242,-1.75,-2.125,-1.0,-2.0,0.375,-14.25,3.75,-15,-10,-11,-1,-79000000,-23,-21,-0.6481481481481481,A
1482,2017/2018,17,Borussia Dortmund,Hoffenheim,-0.07689976903462314,0.08183473381888695,0.3392333984375,0.3984432873555523,-0.625,-1.125,0.375,0.875,-0.625,1.875,-4.375,1,4,5,0,28000000,11,-1,-0.18518518518518517,H
1483,2017/2018,17,Hannover 96,Bayer Leverkusen,-0.483936309010757,-1.3885307754326628,-1.754791259765625,-2.0231034196143383,-1.0,-0.375,-0.375,-1.0,0.625,-4.375,0.375,-3,-5,-4,0,-22000000,-10,-5,-0.43518518518518523,D
1484,2017/2018,17,RB Leipzig,Hertha BSC,0.2583517293151719,0.10377449901710567,-0.176361083984375,-0.24379912014749094,0.0,0.375,-0.625,0.125,1.0,4.375,-1.0,3,3,-1,0,42000000,2,7,-0.09259259259259256,A
1485,2017/2018,18,Bayer Leverkusen,Bayern Munich,-0.570767535666491,-1.3983128140887295,-1.6954498291015625,-1.688556354405071,-0.625,-1.125,-0.125,-2.625,-0.375,-12.875,1.25,-12,-6,-7,-1,-58000000,-3,-13,-0.2222222222222222,A
1486,2017/2018,18,Werder Bremen,Hoffenheim,-0.2815126922952689,-0.0496924138622612,0.08301544189453125,0.09362081872791828,0.0,-0.125,-0.125,1.75,-1.0,-8.125,-0.875,-3,1,-1,0,-15000000,-14,-11,0.04629629629629628,D
