Season,Round,HomeTeam,AwayTeam,Date,Hour,HomeTeamPlayers,AwayTeamPlayers,GoalsHome,GoalsAway,CornersHome,CornersAway,ShotsTargetHome,ShotsTargetAway,ShotsWideHome,ShotsWideAway,FoulsHome,FoulsAway,OffsidesHome,OffsidesAway,HomeTeamPossession,AwayTeamPossession
2013/2014,11,Hoffenheim,Bayern Munich,02/11/2013,15:30,K. Casteels/A. Beck/D. Abraham/N. Süle/S. Salihović/S. Rudy/K. Herdling/T. Strobl/A. Modeste/K. Volland/Roberto Firmino,M. Neuer/P. Lahm/J. Boateng/D. Alaba/Dante/B. Schweinsteiger/F. Ribéry/Javi Martínez/M. Götze/M. Mandžukić/T. Müller,1,2,6,4,3,4,1,9,20,16,3,2,39,61
2013/2014,11,Hamburger SV,Borussia Mönchengladbach,02/11/2013,15:30,R. Adler/M. Jansen/H. Westermann/L. Sobiech/J. Tah/R. van der Vaart/M. Beister/M. Badelj/T. Arslan/H. Çalhanoğlu/P. Lasogga,M. ter Stegen/O. Wendt/M. Stranzl/T. Jantschke/J. Korb/J. Arango/G. Xhaka/C. Kramer/Raffael/M. Kruse/P. Herrmann,0,2,7,2,4,0,3,2,9,11,0,1,49,51
2013/2014,11,Eintracht Braunschweig,Bayer Leverkusen,02/11/2013,15:30,D. Davari/D. Dogan/K. Reichel/E. Bičakčić/O. Elabdellaoui/D. Vrančić/N. Theuerkauf/K. Kratz/M. Boland/D. Kumbela/K. Bellarabi,B. Leno/R. Hilbert/S. Boenisch/Ö. Toprak/P. Wollscheid/S. Rolfes/J. Hegeler/G. Castro/E. Can/E. Derdiyok/R. Kruse,1,0,4,4,7,8,7,6,13,20,4,4,46,54
2013/2014,11,Hertha BSC,Schalke 04,02/11/2013,15:30,T. Kraft/F. Lustenberger/S. Langkamp/P. Pekarík/J. van den Bergh/N. Schulz/H. Hosogai/Ä. Ben-Hatira/P. Skjelbred/T. Ciğerci/A. Ramos,T. Hildebrand/A. Uchida/C. Fuchs/B. Höwedes/D. Aogo/J. Matip/K. Boateng/R. Neustädter/J. Draxler/M. Meyer/Ádám Szalai,0,2,6,4,11,3,4,4,18,16,1,5,57,43
2013/2014,11,Eintracht Frankfurt,Wolfsburg,02/11/2013,18:30,K. Trapp/M. Russ/C. Zambrano/S. Celozzi/B. Oczipka/Anderson Bamba/T. Barnetta/J. Flum/S. Rode/V. Kadlec/A. Meier,D. Benaglio/P. Ochs/Naldo/R. Rodríguez/R. Knoche/Diego/Luiz Gustavo/I. Perišić/S. Medojević/M. Arnold/I. Olić,1,2,8,1,4,1,2,4,13,15,5,2,51,49
2013/2014,11,Augsburg,Mainz 05,03/11/2013,15:30,M. Hitz/J. Callsen-Bracker/P. Verhaegh/R. Klavan/K. Vogt/M. Ostrzolek/Halil Altıntop/T. Werner/D. Baier/A. Hahn/S. Mölders,H. Müller/N. Noveski/B. Svensson/Zdeněk Pospěch/J. Díaz/S. Bell/E. Soto/Park Joo-Ho/J. Geis/S. Okazaki/S. Polter,2,1,6,3,5,5,7,4,12,19,1,2,61,39
2013/2014,11,Werder Bremen,Hannover 96,03/11/2013,17:30,S. Mielitz/A. Lukimya/T. Gebre Selassie/L. Caldirola/S. García/C. Makiadi/C. Fritz/A. Hunt/Z. Junuzović/F. Kroos/E. Elia,R. Zieler/C. Schulz/S. Pocognoli/H. Sakai/A. Hoffmann/S. Sané/S. Huszti/L. Andreasen/L. Stindl/E. Prib/A. Sobiech,3,2,3,6,3,2,3,10,16,23,11,3,52,48
2013/2014,12,Hannover 96,Eintracht Braunschweig,08/11/2013,20:30,R. Zieler/C. Schulz/S. Pocognoli/H. Sakai/A. Hoffmann/S. Huszti/L. Andreasen/L. Stindl/E. Prib/L. Bittencourt/M. Diouf,D. Davari/M. Caligiuri/D. Dogan/T. Perthel/E. Bičakčić/O. Elabdellaoui/D. Vrančić/N. Theuerkauf/M. Boland/D. Kruppke/D. Kumbela,0,0,6,2,6,2,10,3,27,16,0,1,54,46
2013/2014,12,Bayern Munich,Augsburg,09/11/2013,15:30,M. Neuer/P. Lahm/Rafinha/J. Boateng/D. Alaba/Dante/F. Ribéry/Javi Martínez/T. Kroos/M. Götze/M. Mandžukić,M. Hitz/J. Callsen-Bracker/P. Verhaegh/R. Klavan/K. Vogt/M. Ostrzolek/Halil Altıntop/T. Werner/D. Baier/A. Hahn/J. Morávek,3,0,9,4,6,0,11,6,12,9,0,5,67,33
2013/2014,12,Schalke 04,Werder Bremen,09/11/2013,15:30,T. Hildebrand/A. Uchida/B. Höwedes/D. Aogo/J. Matip/J. Jones/K. Boateng/R. Neustädter/J. Draxler/M. Meyer/Ádám Szalai,S. Mielitz/A. Lukimya/T. Gebre Selassie/L. Caldirola/S. García/C. Makiadi/C. Fritz/A. Hunt/Z. Junuzović/F. Kroos/E. Elia,3,1,6,2,9,4,8,5,16,19,2,2,56,44
