,Round,Home,Away,HGoals,AGoals,OddsH,OddsD,OddsA
140,19,Hoffenheim,Bayer Leverkusen,1,4,2.79,3.75,2.39
141,19,Mainz,Stuttgart,3,2,2.79,3.2,2.7
142,19,Wolfsburg,Eintracht Frankfurt,1,3,2.45,3.2,3.0
143,19,Hertha Berlin,Dortmund,1,1,3.5,3.5,2.1
144,18,Dortmund,Wolfsburg,0,0,1.53,4.5,5.5
145,18,FC Koln,B. Monchengladbach,2,1,3.2,3.39,2.25
146,18,Augsburg,Hamburger SV,1,0,1.75,3.5,5.0
147,18,Eintracht Frankfurt,Freiburg,1,1,2.0,3.39,3.79
148,18,Hannover,Mainz,3,2,2.25,3.39,3.1
149,18,RB Leipzig,Schalke,3,1,2.29,3.29,3.1
150,18,Stuttgart,Hertha Berlin,1,0,1.9,3.5,4.0
151,18,Werder Bremen,Hoffenheim,1,1,2.45,3.39,2.87
152,18,Bayer Leverkusen,Bayern Munich,1,3,4.0,3.75,1.9
153,17,Hannover,Bayer Leverkusen,4,4,4.5,3.79,1.72
154,17,RB Leipzig,Hertha Berlin,2,3,1.6,3.89,5.75
155,17,Augsburg,Freiburg,3,3,1.8,3.5,4.75
156,17,Dortmund,Hoffenheim,2,1,1.64,4.33,4.75
157,17,Eintracht Frankfurt,Schalke,2,2,2.89,3.2,2.54
158,17,FC Koln,Wolfsburg,1,0,3.6,3.5,2.04
159,17,Stuttgart,Bayern Munich,0,1,9.0,4.75,1.36
160,17,Werder Bremen,Mainz,2,2,1.95,3.5,4.0
161,17,B. Monchengladbach,Hamburger SV,3,1,1.9,3.6,4.0
162,16,Bayer Leverkusen,Werder Bremen,1,0,1.57,4.2,5.75
163,16,Bayern Munich,FC Koln,1,0,1.06,13.0,29.0
164,16,Hertha Berlin,Hannover,3,1,1.9,3.5,4.33
165,16,Hoffenheim,Stuttgart,1,0,1.95,3.5,3.79
166,16,Schalke,Augsburg,3,2,2.0,3.29,4.0
167,16,Freiburg,B. Monchengladbach,1,0,2.75,3.39,2.5
168,16,Hamburger SV,Eintracht Frankfurt,1,2,2.25,3.25,3.29
169,16,Mainz,Dortmund,0,2,5.0,4.33,1.6
170,16,Wolfsburg,RB Leipzig,1,1,2.87,3.5,2.39
171,15,Augsburg,Hertha Berlin,1,1,2.1,3.29,3.75
172,15,FC Koln,Freiburg,3,4,2.29,3.39,3.1
173,15,Hannover,Hoffenheim,2,0,3.5,3.6,2.04
174,15,B. Monchengladbach,Schalke,1,1,2.37,3.29,2.89
175,15,Dortmund,Werder Bremen,1,2,1.39,5.25,7.0
176,15,Eintracht Frankfurt,Bayern Munich,0,1,7.0,4.75,1.44
177,15,Hamburger SV,Wolfsburg,0,0,2.6,3.39,2.7
178,15,RB Leipzig,Mainz,2,2,1.53,4.2,6.5
179,15,Stuttgart,Bayer Leverkusen,0,2,3.0,3.6,2.29
180,14,Hertha Berlin,Eintracht Frankfurt,1,2,2.39,3.25,3.1
181,14,Wolfsburg,B. Monchengladbach,3,0,2.39,3.39,2.79
182,14,Bayer Leverkusen,Dortmund,1,1,2.14,3.79,3.0
183,14,Bayern Munich,Hannover,3,1,1.08,11.0,26.0
184,14,Hoffenheim,RB Leipzig,4,0,3.39,3.75,2.04
